POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
60285;ENA-CHI 01PW TG;CHILECITO;CHI;2,60285;ENA-CHI 01PW TG
60286;ENA-CHI 01PQ TG;CHILECITO;CHI;2,60286;ENA-CHI 01PQ TG
60287;ENA-LRS 01PW TG;LA RIOJA 1;LRI1;2,60287;ENA-LRS 01PW TG
60288;ENA-LRS 01PQ TG;LA RIOJA 1;LRI1;2,60288;ENA-LRS 01PQ TG
60289;ENA-ORA 01PW TG;ORAN;ORA;2,60289;ENA-ORA 01PW TG
60290;ENA-ORA 01PQ TG;ORAN;ORA;2,6029;ENA-ORA 01PQ TG
60291;ENA-TAR 01PW TG;TARTAGAL;TAR;2,60291;ENA-TAR 01PW TG
60292;ENA-TAR 01PQ TG;TARTAGAL;TAR;2,60292;ENA-TAR 01PQ TG
60293;01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR;TINOGASTA;TIN;2,60293;01PW    TD   01 
60294;01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR;TINOGASTA;TIN;2,60294;01PQ    TD   01 
60295;01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR;AATUYA;ANA;2,60295;01PW    TD   02 
60296;01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR;AATUYA;ANA;2,60296;01PQ    TD   02 
60297;01PW    TD   03 POTENCIA ACTIVA MAQUINA SULLAIR;AATUYA;ANA;2,60297;01PW    TD   03 
60298;01PQ    TD   03 POTENCIA REACTIVA MAQUINA SULLAIR;AATUYA;ANA;2,60298;01PQ    TD   03 
60299;01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR;TINOGASTA;TIN;2,60299;01PW    TD   02 
60300;01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR;TINOGASTA;TIN;2,603;01PQ    TD   02 
60301;ENA-CAT INTA 01PW TG;CATAMARCA 1;CAT1;2,60301;ENA-CAT INTA 01P
60302;ENA-CAT INTA 01PQ TG;CATAMARCA 1;CAT1;2,60302;ENA-CAT INTA 01P
60303;ENA-LRI 01PW TG;LA RIOJA 1;LRI1;2,60303;ENA-LRI 01PW TG
60304;ENA-LRI 01PQ TG;LA RIOJA 1;LRI1;2,60304;ENA-LRI 01PQ TG
60305;01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR;LIBERTADOR;LIB;2,60305;01PW    TD   01 
60306;01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR;LIBERTADOR;LIB;2,60306;01PQ    TD   01 
60307;01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR;LIBERTADOR;LIB;2,60307;01PW    TD   02 
60308;01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR;LIBERTADOR;LIB;2,60308;01PQ    TD   02 
60309;ENA-CAT PIND 01PW TG;CATAMARCA 1;CAT1;2,60309;ENA-CAT PIND 01P
60310;ENA-CAT PIND 01PQ TG;CATAMARCA 1;CAT1;2,6031;ENA-CAT PIND 01P
60311;ENA-CAT TERE 01PW TG;CATAMARCA 1;CAT1;2,60311;ENA-CAT TERE 01P
60312;ENA-CAT TERE 01PQ TG;CATAMARCA 1;CAT1;2,60312;ENA-CAT TERE 01P
60313;03PW PROVIDENCIA;VILLA QUINTEROS;VQI;2,60313;03PW PROVIDENCIA
60314;03PQ PROVIDENCIA;VILLA QUINTEROS;VQI;2,60314;03PQ PROVIDENCIA
60315;50CTE    L  REC  CORRIENTE;LAVALLE;LAV;2,60315;50CTE    L  REC 
60316;50TEN    NODO 1  TENSION;LAVALLE;LAV;2,60316;50TEN    NODO 1 
