60239,"1AL10_P",0,"Acoplamiento","Potencia Activa",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60240,"1AL10_Q",0,"Acoplamiento","Potencia Reactiva",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60241,"1AL10_V",0,"Acoplamiento","Tensión",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60242,"1CPO03_I",33,,,,"GEN","GENERADORES",,,
60243,"1CPO03_V",33,,,,"GEN","GENERADORES",,,
60244,"1CPO03_P",33,,,,"GEN","GENERADORES",,,
60245,"1CPO03_Q",33,,,,"GEN","GENERADORES",,,
60246,"345_TRFTV10_P",345,"Generación","P","G","TAN","TERMO ANDES","COBOS","NORTE",
60247,"345_TRFTV10_Q",345,"Generación","Q","G","TAN","TERMO ANDES","COBOS","NORTE",
60248,"345_TRFTV10_V",345,"Generación","Tensión","G","TAN","TERMO ANDES","COBOS","NORTE",
60249,"345_TRFTG11_P",345,"Generación","P","G","TAN","TERMO ANDES","COBOS","NORTE",
60250,"345_TRFTG11_Q",345,"Generación","Q","G","TAN","TERMO ANDES","COBOS","NORTE",
60251,"345_TRFTG11_V",345,"Generación","Tensión","G","TAN","TERMO ANDES","COBOS","NORTE",
60252,"345_TRFTG12_P",345,"Generación","P","G","TAN","TERMO ANDES","COBOS","NORTE",
60253,"345_TRFTG12_Q",345,"Generación","Q","G","TAN","TERMO ANDES","COBOS","NORTE",
60254,"345_TRFTG12_V",345,"Generación","Tensión","G","TAN","TERMO ANDES","COBOS","NORTE",
60258,"5NODO3_V",500,"Barra","Tensión",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60259,"5NODO4_V",500,"Barra","Tensión",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60260,"5CHA-MQ1_I",500,"Linea","Corriente",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60261,"5CHA-MQ1_P",500,"Linea","P","I","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60262,"5CHA-MQ1_Q",500,"Linea","Q","I","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60263,"5CBMQ1_I",500,"Linea","Corriente",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60264,"5CBMQ1_P",500,"Linea","P","I","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60265,"5CBMQ1_Q",500,"Linea","Q","I","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60266,"5NODO5_V",500,"Barra","Tensión",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60267,"5NODO6_V",500,"Barra","Tensión",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60268,"5T1MQ_I",500,"Transformador","Corriente",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60269,"5T1MQ_P",500,"Transformador","P","T","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60270,"5T1MQ_Q",500,"Transformador","Q","T","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60271,"5T1MQ_RBC",500,"Transformador","Punto de RBC",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60272,"1A_A_B_IB",0,"Acoplamiento","Corriente",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60273,"1T1MQ_I",0,"Transformador","Corriente",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60274,"1T1MQ_V",0,"Transformador","Tensión",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60275,"1T1MQ_P",0,"Transformador","P","T","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60276,"1T1MQ_Q",0,"Transformador","Q","T","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60277,"1CGA-MQ1_I",0,"Linea","Corriente",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60278,"1CGA-MQ1_V",0,"Linea","Tensión",,"MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60279,"1CGA-MQ1_P",0,"Linea","P","I","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60280,"1CGA-MQ1_Q",0,"Linea","Q","I","MQU","MONTE QUEMADO","TUCUMAN","CENTRO",
60281,"01PW_TD_01_P","13,2","Generación","PG","G","ANA","AATUYA","SANTIAGO DEL ESTERO","CENTRO",
60282,"01PQ_TD_01_P","13,2","Generación","Q","G","ANA","AATUYA","SANTIAGO DEL ESTERO","CENTRO",
60283,"ENA-CAT_01PW_TG","13,2","Generación","P","G","CAT","CATAMARCA 1","CATAMARCA","SUR",
60284,"ENA-CAT_01PQ_TG","13,2","Generación","Q","G","CAT","CATAMARCA 1","CATAMARCA","SUR",
60285,"ENA-CHI_01PW_TG","13,2","Generación","P","G","CHI","CHILECITO","LA RIOJA","SUR",
60286,"ENA-CHI_01PQ_TG","13,2","Generación","Q","G","CHI","CHILECITO","LA RIOJA","SUR",
60287,"ENA-LRS_01PW_TG","13,2","Generación","P","G","LRI","LA RIOJA 1","LA RIOJA","SUR",
60288,"ENA-LRS_01PQ_TG","13,2","Generación","Q","G","LRI","LA RIOJA 1","LA RIOJA","SUR",
60289,"ENA-ORA_01PW_TG","13,2","Generación","PG","G","ORA","ORAN","SALTA","NORTE",
60290,"ENA-ORA_01PQ_TG","13,2","Generación","Q","G","ORA","ORAN","SALTA","NORTE",
60291,"ENA-TAR_01PW_TG","13,2","Generación","PG","G","TAR","TARTAGAL","SALTA","NORTE",
60292,"ENA-TAR_01PQ_TG","13,2","Generación","Q","G","TAR","TARTAGAL","SALTA","NORTE",
60293,"01PW_TD_01_P","13,2","Generación","PG","G","TIN","TINOGASTA","CATAMARCA","SUR",
