60237,"1A A B  I",132,"Acoplamiento","Corriente",,"SJU",,,
60238,"1AL10  I",132,"Acoplamiento","Corriente",,"SJU",,,
60239,"1AL10  P",132,"Acoplamiento","Potencia Activa",,"SJU",,,
60240,"1AL10  Q",132,"Acoplamiento","Potencia Reactiva",,"SJU",,,
60241,"1AL10  V",132,"Acoplamiento","Tensión",,"SJU",,,
60242,"1CPO03 I",132,,,,,,,
60243,"1CPO03 V",132,,,,,,,
60244,"1CPO03 P",132,,,,,,,
60245,"1CPO03 Q",132,,,,,,,
60246,"345_TRFTV10_P",345,"Generación","P","G","TAN","TERMO ANDES","COBOS","NORTE"
60247,"345_TRFTV10_Q",345,"Generación","Q","G","TAN","TERMO ANDES","COBOS","NORTE"
60248,"345_TRFTV10_V",345,"Generación","Tensión","G","TAN","TERMO ANDES","COBOS","NORTE"
60249,"345_TRFTG11_P",345,"Generación","P","G","TAN","TERMO ANDES","COBOS","NORTE"
60250,"345_TRFTG11_Q",345,"Generación","Q","G","TAN","TERMO ANDES","COBOS","NORTE"
60251,"345_TRFTG11_V",345,"Generación","Tensión","G","TAN","TERMO ANDES","COBOS","NORTE"
60252,"345_TRFTG12_P",345,"Generación","P","G","TAN","TERMO ANDES","COBOS","NORTE"
60253,"345_TRFTG12_Q",345,"Generación","Q","G","TAN","TERMO ANDES","COBOS","NORTE"
60254,"345_TRFTG12_V",345,"Generación","Tensión","G","TAN","TERMO ANDES","COBOS","NORTE"
60255,"CAMM Frecuencia H",,"Cammesa","Frecuencia",,,,,
60256,"CAMM RPF-HID",,"Cammesa","Regulacion",,,,,
60257,"CAMM RPF-TER",,"Cammesa","Regulacion",,,,,
60258,"5NODO3  V",500,"Barra","Tensión",,,,,
60259,"5NODO4  V",500,"Barra","Tensión",,,,,
60260,"5CHA-MQ1 I",500,"Linea","Corriente",,,,,
60261,"5CHA-MQ1 P",500,"Linea","P","I",,,,
60262,"5CHA-MQ1 Q",500,"Linea","Q","I",,,,
60263,"5CBMQ1   I",500,"Linea","Corriente",,,,,
60264,"5CBMQ1   P",500,"Linea","P","I",,,,
60265,"5CBMQ1   Q",500,"Linea","Q","I",,,,
60266,"5NODO5  V",500,"Barra","Tensión",,,,,
60267,"5NODO6  V",500,"Barra","Tensión",,,,,
60268,"5T1MQ    I",500,"Transformador","Corriente",,,,,
60269,"5T1MQ    P",500,"Transformador","P","T",,,,
60270,"5T1MQ    Q",500,"Transformador","Q","T",,,,
60271,"5T1MQ    RBC",500,"Transformador","Punto de RBC",,,,,
60272,"1A A B  IB",132,"Acoplamiento","Corriente",,"MQU",,,
60273,"1T1MQ    I",132,"Transformador","Corriente",,,,,
60274,"1T1MQ    V",132,"Transformador","Tensión",,,,,
60275,"1T1MQ    P",132,"Transformador","P","T",,,,
60276,"1T1MQ    Q",132,"Transformador","Q","T",,,,
60277,"1CGA-MQ1 I",132,"Linea","Corriente",,,,,
60278,"1CGA-MQ1 V",132,"Linea","Tensión",,,,,
60279,"1CGA-MQ1 P",132,"Linea","P","I",,,,
60280,"1CGA-MQ1 Q",132,"Linea","Q","I",,,,
60281,"01PW MG01 POTENCI","13,2","Generación"," "," ","AÑA","AÑATUYA","SANTIAGO DEL ESTERO","CENTRO"
60282,"01PQ  MG01 POTENC","13,2","Generación"," "," ","AÑA","AÑATUYA","SANTIAGO DEL ESTERO","CENTRO"
60283,"ENA-CAT 01PW TG","13,2","Generación","P","G","CAT1","CATAMARCA 1","CATAMARCA","SUR"
60284,"ENA-CAT 01PQ TG","13,2","Generación","Q","G","CAT","CATAMARCA","CATAMARCA","SUR"
60285,"ENA-CHI 01PW TG","13,2","Generación","P","G","NON","NONOGASTA","LA RIOJA","SUR"
60286,"ENA-CHI 01PQ TG","13,2","Generación","Q","G","NON","NONOGASTA","LA RIOJA","SUR"
60287,"ENA-LRS 01PW TG","13,2","Generación","P","G","LRE","LA RIOJA ESTE","LA RIOJA","SUR"
60288,"ENA-LRS 01PQ TG","13,2","Generación","Q","G","LRI","LA RIOJA","LA RIOJA","SUR"
60289,"ENA-ORA 01PW TG","13,2","Generación"," "," ","ORA","ORAN","SALTA","NORTE"
60290,"ENA-ORA 01PQ TG","13,2","Generación"," "," ","ORA","ORAN","SALTA","NORTE"
60291,"ENA-TAR 01PW TG","13,2","Generación","P","G","TAR","TARTAGAL","SALTA","NORTE"
