"POINTNUMBER","POINTNAME","STATIONNAMEABBREVIATED"
102033,"13PW     L  MET  POTENCIA ACTIVA","TUN"
102034,"13PW     L  CAD  POTENCIA ACTIVA","TUN"
102035,"13PW     OF SAR  POTENCIA ACTIVA","TUN"
102036,"13PQ     L2 CPO  POTENCIA REACTIVA","TUN"
102037,"13PQ     L1 CPO  POTENCIA REACTIVA","TUN"
102038,"13PQ     L  TOE  POTENCIA REACTIVA","TUN"
102039,"13PQ     L  TRA  POTENCIA REACTIVA","TUN"
102040,"13PQ     L  MET  POTENCIA REACTIVA","TUN"
102041,"13PQ     L  CAD  POTENCIA REACTIVA","TUN"
102042,"13PQ     OF SAR  POTENCIA REACTIVA","TUN"
102043,"13CTE    AC  A B CORRIENTE","TUN"
102044,"03CTE    AC   01 CORRIENTE","TUN"
102045,"13TEN    L  TOE  TENSION","TUN"
102046,"13PW      TR  01 POTENCIA ACTIVA","TUN"
102047,"13PW      TR  02 POTENCIA ACTIVA","TUN"
102048,"13PQ      TR  01 POTENCIA REACTIVA","TUN"
102049,"13PQ      TR  02 POTENCIA REACTIVA","TUN"
102052,"03CTE     TR  01 CORRIENTE","TUN"
102053,"03CTE     TR  03 CORRIENTE","TUN"
102054,"01PW      TR  01 POTENCIA ACTIVA","TUN"
102055,"01PW      TR  02 POTENCIA ACTIVA","TUN"
102056,"01PQ      TR  01 POTENCIA REACTIVA","TUN"
102057,"01PQ      TR  02 POTENCIA REACTIVA","TUN"
102058,"01TEN     TR  01 TENSION","TUN"
102059,"01TEN     TR  02 TENSION","TUN"
102060,"03TEN    B   A   TENSION","TUN"
102061,"03TEN    B   B   TENSION","TUN"
102062,"13TEN    B       TENSION","TUN"
102063,"13TEN    L  CPO  TENSION","TUN"
102064,"13TEN    L  SAR  TENSION","TUN"
102065,"03PW      TR  01 POTENCIA ACTIVA","TUN"
102066,"03PQ      TR  01 POTENCIA REACTIVA","TUN"
102067,"03PW      TR  03 POTENCIA ACTIVA","TUN"
102068,"03PQ      TR  03 POTENCIA REACTIVA","TUN"
102069,"01CTE   RUTA 305 CORRIENTE","TUN"
102072,"13CTE     TR  01 CORRIENTE","TUN"
102073,"13CTE     TR  02 CORRIENTE","TUN"
102076,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","TUN"
102077,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","TUN"
102078,"13QFAL        ET REACTIVO FALTANTE","TUN"
102079,"13PW      TR  04 POTENCIA ACTIVA","TUN"
102080,"13PQ      TR  04 POTENCIA REACTIVA","TUN"
102081,"13CTE     TR  04 CORRIENTE","TUN"
102083,"01PW      TR  04 POTENCIA ACTIVA","TUN"
102084,"01PQ      TR  04 POTENCIA REACTIVA","TUN"
102085,"01CTE     TR  04 CORRIENTE","TUN"
102086,"01TEN     TR  04 TENSION","TUN"
102087,"01CTE  VENEZUELA CORRIENTE","TUN"
102088,"01CTE  DISTRIB 2 CORRIENTE","TUN"
102089,"01CTE      OESTE CORRIENTE","TUN"
102090,"01CTE    MUNECAS CORRIENTE","TUN"
102091,"01TEN   B   A    TENSION","TUN"
102092,"01TEN   B   B    TENSION","TUN"
102093,"01TEN     TR  03 TENSION","TUN"
102094,"13TEN   B   B    TENSION","TUN"
102499,"RESERVA LIMITE NOA","TUN"
102500,"PW DEMANDA DE POTENCIA TOTAL","DMPW"
102501,"DDS PW DEMANDA DE POTENCIA TOTAL","DMPW"
103002,"01PQ       CP 01 POTENCIA REACTIVA","SAR"
103003,"01CTE      CP 01 CORRIENTE","SAR"
103004,"01CTE     ITALIA CORRIENTE","SAR"
103006,"01CTE      MITRE CORRIENTE","SAR"
103007,"01CTE   URUGUAY CORRIENTE","SAR"
103008,"01CTE    LUJAN 3 CORRIENTE","SAR"
103009,"01CTE    LUJAN 1 CORRIENTE","SAR"
103010,"01CTE       PERU CORRIENTE","SAR"
103011,"01CTE  CARREFOUR CORRIENTE","SAR"
103012,"01CTE    MENDOZA CORRIENTE","SAR"
103013,"01CTE SARMIENTO2 CORRIENTE","SAR"
103014,"01CTE     CASINO CORRIENTE","SAR"
103015,"01CTE  CATAMARCA CORRIENTE","SAR"
103016,"01CTE  PLAZOLETA CORRIENTE","SAR"
103017,"01CTE     LIBANO CORRIENTE","SAR"
103018,"01CTE      JUNIN CORRIENTE","SAR"
103019,"01CTE  DON BOSCO CORRIENTE","SAR"
103020,"01CTE     ESPANA CORRIENTE","SAR"
103021,"01CTE  LA GACETA CORRIENTE","SAR"
103022,"13PQ     OF EST  POTENCIA REACTIVA","SAR"
103023,"13PQ     OF TUN  POTENCIA REACTIVA","SAR"
103024,"01CTE  AVELLAN 3 CORRIENTE","SAR"
103025,"01TEN     TR  01 TENSION","SAR"
103026,"01TEN     TR  02 TENSION","SAR"
103027,"01TEN     B    2 TENSION","SAR"
103028,"13PW      TR 1:3 POTENCIA ACTIVA","SAR"
103029,"13PW      TR  02 POTENCIA ACTIVA","SAR"
103030,"13PQ      TR 1:3 POTENCIA REACTIVA","SAR"
103031,"13PQ      TR  02 POTENCIA REACTIVA","SAR"
103034,"01CTE     TR  01 CORRIENTE","SAR"
103035,"01CTE     TR  02 CORRIENTE","SAR"
103036,"01CTE     CP  01 CORRIENTE","SAR"
103037,"01PW      TG  22 POTENCIA ACTIVA","SAR"
103038,"13PW     OF EST  POTENCIA ACTIVA","SAR"
103039,"13PW     OF TUN  POTENCIA ACTIVA","SAR"
103040,"13CTE    OF TUN  CORRIENTE","SAR"
103041,"01PQ      TG  22 POTENCIA REACTIVA","SAR"
103042,"13CTE    OF EST  CORRIENTE","SAR"
103043,"13TEN     B   2  TENSION","SAR"
103044,"01CTE     AC  02 CORRIENTE","SAR"
103045,"01CTE     AC  01 CORRIENTE","SAR"
103047,"13CTE     TR  1:3 CORRIENTE","SAR"
103048,"13CTE     TR  02 CORRIENTE","SAR"
103051,"01PW      TR  01 POTENCIA ACTIVA","SAR"
103052,"01PW      TR  02 POTENCIA ACTIVA","SAR"
103053,"01PQ      TR  01 POTENCIA REACTIVA","SAR"
103054,"01PQ      TR  02 POTENCIA REACTIVA","SAR"
103055,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","SAR"
103056,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","SAR"
103057,"01CTE      SALTA CORRIENTE","SAR"
103058,"01PW      TR  03 POTENCIA ACTIVA","SAR"
103059,"01PQ      TR  03 POTENCIA REACTIVA","SAR"
103060,"01CTE     TR  03 CORRIENTE","SAR"
103061,"01TEN     TR  03 TENSION","SAR"
103063,"01TEN   B  1A   TENSION","SAR"
103064,"01TEN   B  1B   TENSION","SAR"
103065,"01TEN   B   2   TENSION","SAR"
103066,"13TEN   B   1   TENSION","SAR"
104000,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","TOE"
104001,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","TOE"
104002,"13TEN     TR  02 TENSION","TOE"
104003,"13TEN     TR  01 TENSION","TOE"
104005,"13CTE     TR  02 CORRIENTE","TOE"
104006,"01CTE     TR  02 CORRIENTE","TOE"
104007,"01PW      TR  02 POTENCIA ACTIVA","TOE"
104008,"01PQ      TR  02 POTENCIA REACTIVA","TOE"
104009,"01TEN     TR  02 TENSION","TOE"
104010,"01TEN     TR  01 TENSION","TOE"
104011,"13CTE     TR  01 CORRIENTE","TOE"
